Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,15.742442750022747,None,space,12.13167304196395,15.742442750022747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.902781957993284,None,space,1.8485717909643427,27.902781957993284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
9,negative,sad,n',"(0, 100, 0)",,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79958820802858,30.80297029198846,30.886283416999504,None,n,0.8292544999858364,30.886283416999504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
2,positive,curious,p',"(0, 100, 0)",,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.736429332988337,32.73607266700128,32.81963308301056,None,p,0.8506294580292888,32.81963308301056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
6,neutral,movement,q',"(0, 100, 0)",,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.702671458013356,34.7028285000124,34.78660829202272,None,q,0.9308303329744376,34.78660829202272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
1,positive,energetic,p',"(0, 100, 0)",,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.736185542016756,36.73694324999815,36.81993433297612,None,p,0.5863038329989649,36.81993433297612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
None,None,None,None,None,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.43683525000233,38.436556999979075,38.52004487498198,None,p,0.6392653330112807,38.52004487498198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
7,negative,busy,n',"(0, 100, 0)",,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.186451166984625,40.18637608300196,40.26970429200446,None,None,,40.26970429200446,41.27036775002489,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
10,negative,sceptical,n',"(0, 100, 0)",,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.769818916975055,42.769622416992206,42.853292917017825,41.769818916975055,None,,42.853292917017825,43.85339887498412,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
4,neutral,blender,q',"(0, 100, 0)",,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.35370400000829,45.35354095802177,45.4369492920232,44.35370400000829,None,,45.4369492920232,46.43686000001617,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
3,positive,trusting,p',"(0, 100, 0)",,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.93710458301939,47.93675983301364,48.02027816697955,46.93710458301939,p,0.862033125013113,48.02027816697955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
8,negative,ashamed,n',"(0, 100, 0)",,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.903950791980606,49.90345987502951,49.98709712497657,None,None,,49.98709712497657,50.986926582991146,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
5,neutral,participating,q',"(0, 100, 0)",,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.48695187497651,52.48730558302486,52.57059337501414,51.48695187497651,p,0.8065969159943052,52.57059337501414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.40435670799343,None,space,2.9469544580206275,53.40435670799343,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
16,neutral,condition,q',"(0, 100, 0)",,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,56.38324104202911,57.387163707986474,57.47041175002232,None,q,0.9548124989960343,57.47041175002232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
17,neutral,numbers,q',"(0, 100, 0)",,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,58.453883124981076,59.45395112497499,59.537416792009026,None,q,0.823951083002612,59.537416792009026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
10,positive,successful,p',"(0, 100, 0)",,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,60.38707333302591,61.38728149997769,61.47045679198345,None,p,0.6759950830019079,61.47045679198345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
11,neutral,sweter,q',"(0, 100, 0)",,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,62.1708781250054,63.17070220800815,63.254607458016835,None,None,,63.254607458016835,64.25438529200619,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
12,neutral,imaging,q',"(0, 100, 0)",,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,64.75366120802937,65.75429387501208,65.83808512502583,64.75366120802937,None,,65.83808512502583,66.83714483299991,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
7,positive,loving,p',"(0, 100, 0)",,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,67.35367633297574,68.35393266699975,68.43750283302506,67.35367633297574,p,0.5830099160084501,68.43750283302506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
14,neutral,sentense,q',"(0, 100, 0)",,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,69.03772795799887,70.0377633330063,70.12035174999619,None,None,,70.12035174999619,71.12071216700133,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
6,positive,intimate,p',"(0, 100, 0)",,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,71.62101329199504,72.62078387499787,72.70393683301518,71.62101329199504,p,0.6455173749709502,72.70393683301518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1428,myproject,2021.2.3,59.995155392726744,
