Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,10.754156749986578,None,space,11.409413957968354,10.754156749986578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.189759958011564,None,space,2.459927499992773,22.189759958011564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
7,negative,busy,n',"(0, 100, 0)",,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.70162241597427,25.70404049998615,25.78698708297452,None,None,25.78698708297452,26.78705020796042,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
10,negative,sceptical,n',"(0, 100, 0)",,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.287493582989555,28.286859999992885,28.370251290965825,None,None,28.370251290965825,29.371056790987495,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
6,neutral,movement,q',"(0, 100, 0)",,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.87043754098704,30.87044500000775,30.95415308297379,29.87043754098704,None,30.95415308297379,31.954106665973086,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
9,negative,sad,n',"(0, 100, 0)",,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.45369200001005,33.45439266599715,33.53768658300396,32.45369200001005,None,33.53768658300396,34.5373797499924,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
1,positive,energetic,p',"(0, 100, 0)",,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.03751979098888,36.037262165977154,36.121331833011936,35.03751979098888,None,36.121331833011936,37.12082808295963,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
8,negative,ashamed,n',"(0, 100, 0)",,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.62096933298744,38.62089525000192,38.70404558297014,37.62096933298744,None,38.70404558297014,39.7044594999752,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
5,neutral,participating,q',"(0, 100, 0)",,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.204527665977366,41.20408925000811,41.28779937501531,40.204527665977366,None,41.28779937501531,42.28747124999063,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
3,positive,trusting,p',"(0, 100, 0)",,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.787981208006386,43.7880659159855,43.87157366599422,42.787981208006386,None,43.87157366599422,44.87154595798347,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
