Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,18.304250334040262,None,space,37.125211416045204,18.304250334040262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.455328208976425,None,space,2.4302362910239026,55.455328208976425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
8,negative,ashamed,n',"(0, 100, 0)",,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.955965667031705,58.96386695897672,59.03075729205739,None,None,59.03075729205739,60.03065112500917,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
5,neutral,participating,q',"(0, 100, 0)",,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.53035529202316,61.53124000004027,61.61393016704824,None,None,61.61393016704824,62.614241459057666,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
1,positive,energetic,p',"(0, 100, 0)",,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1138662090525,64.11389300005976,64.19730258407071,63.1138662090525,None,64.19730258407071,65.19715258397628,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
None,None,None,None,None,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.69748870900366,66.69744004204404,66.78082379198167,65.69748870900366,None,66.78082379198167,67.78073320898693,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
10,negative,sceptical,n',"(0, 100, 0)",,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.28037245897576,69.28089162497781,69.36460662505124,68.28037245897576,None,69.36460662505124,70.3645537920529,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
4,neutral,blender,q',"(0, 100, 0)",,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.86478708405048,71.86393925000448,71.94755183404777,70.86478708405048,None,71.94755183404777,72.94747491704766,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
6,neutral,movement,q',"(0, 100, 0)",,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.44744758401066,74.4477323750034,74.5309846670134,73.44744758401066,None,74.5309846670134,75.531082584057,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
3,positive,trusting,p',"(0, 100, 0)",,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.03075187501963,77.03158987499774,77.11470887507312,76.03075187501963,p,77.11470887507312,None,0.8151615830138326,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
